Session,Hip,PropertyLine1,PropertyLine2,Description,DOB,Color,Sex,Horse Name,Sire,Dam,CoveringSire,LastService,Pregnancy,SoldAs,Purchaser,Price
1,0001,"Hill 'n' Dale Sales Agency, Agent ","","Lenni Girl","","DB/BR",Filly,"Lenni Girl","Candy Ride (ARG)","Unicorn Girl","","","","","Out",0
1,0002,"Taylor Made Sales Agency, Agent XCIII ","","Paradise Promise","","GR/RO",Filly,"Paradise Promise","Arrogate","Uno Mas Promesa","","","","","R.N.A. (170,000)",---
1,0003,"Four Star Sales, Agent ","","Under the Stars","","B",Filly,"Under the Stars","Pioneerof the Nile","Untouched Talent","","","","","Out",0
1,0004,"Lane's End, Agent ","","Star of India","","B",Filly,"Star of India","Medaglia d'Oro","Up (IRE)","","","","","R.N.A. (575,000)",---
1,0005,"Taylor Made Sales Agency, Agent for Town & Country Horse Farms, LLC","","Triple Entente","","DB/BR",Filly,"Triple Entente","War Front","Upperline","","","","","Ben McElroy, Agent for C.J. Thoroughbreds",335000
1,0006,"Taylor Made Sales Agency, Agent CCXVIII ","","Presidential","","B",Colt,"Presidential","Pioneerof the Nile","Uptown Twirl","","","","","Courtlandt Farm",625000
1,0007,"Lane's End, Agent ","","Beyond Best","","CH",Colt,"Beyond Best","Curlin","Value Stream","","","","","West Bldstk,Agt for Repole Stables&St Elias Stable",400000
1,0008,"Eaton Sales, Agent ","","Classic Moment","","DB/BR",Colt,"Classic Moment","Classic Empire","Victory Party","","","","","Winchell Thoroughbreds LLC",350000
1,0009,"Denali Stud, Agent LX ","","Chileno","","CH",Colt,"Chileno","Gun Runner","Wapi (CHI)","","","","","Winchell Thoroughbreds LLC",375000
1,0010,"Stonehaven Steadings, Agent for Bart Evans and Stonehaven Steadings","","Corniche","","B",Colt,"Corniche","Quality Road","Wasted Tears","","","","","R.N.A. (385,000)",---
1,0011,"Lane's End, Agent ","","War Classic","","B",Filly,"War Classic","War Front","Weep No More","","","","","Courtlandt Farm",400000
1,0012,"Taylor Made Sales Agency, Agent CCIII ","","War Room","","B",Colt,"War Room","Constitution","Whisper Number","","","","","R.N.A. (370,000)",---
1,0013,"Lane's End, Agent ","","Frippet","","B",Filly,"Frippet","Ghostzapper","White Clover","","","","","Mike Ryan, Agent",100000
1,0014,"KatieRich Farms ","","Wiz Village Karen","","DB/BR",Filly,"Wiz Village Karen","Curlin","Wild Mint","","","","","R.N.A. (85,000)",---
1,0015,"Eaton Sales, Agent ","","Steady On","","DB/BR",Colt,"Steady On","Pioneerof the Nile","Wile Cat","","","","","West Bldstk,Agt for Repole Stables&St Elias Stable",275000
1,0016,"Taylor Made Sales Agency, Agent CXLIII ","","Boussac","","B",Colt,"Boussac","American Pharoah","Willet","","","","","R.N.A. (325,000)",---
1,0017,"Denali Stud, Agent XXVI ","","Smokin' T","","B",Colt,"Smokin' T","War Front","Wine Princess","","","","","R.N.A. (295,000)",---
1,0018,"Taylor Made Sales Agency, Agent LXIX ","","Practical Way","","B",Colt,"Practical Way","Practical Joke","Yawkey Way","","","","","Out",0
1,0019,"Woodford Thoroughbreds, Agent I ","","Kendall Square","","B",Colt,"Kendall Square","Quality Road","Yes It's Jackie","","","","","Donato Lanni, Agt for SF/Starlight/Madaket",250000
1,0020,"Mulholland Springs, Agent XVIII ","","Callmemarthajane","","B",Filly,"Callmemarthajane","Gun Runner","Youcan'tcatchme","","","","","Tommy Town Thoroughbreds",90000
1,0021,"Paramount Sales, Agent LVII ","","Cha Cha Loco","","CH",Colt,"Cha Cha Loco","American Pharoah","You Crack Me Up","","","","","Dale Romans, Agt. for Marc Holiday",275000
1,0022,"Dromoland Farm Inc. (Gerry Dilger), Agent I ","","Ignitis","","DB/BR",Colt,"Ignitis","Nyquist","Zaharias","","","","","R.N.A. (190,000)",---
1,0023,"Taylor Made Sales Agency, Agent for Siena Farm LLC ","","Mystic Quest","","CH",Colt,"Mystic Quest","Curlin","Zayanna","","","","","R.N.A. (735,000)",---
1,0024,"Taylor Made Sales Agency, Agent X ","","Little Skellig","","B",Filly,"Little Skellig","Malibu Moon","Zia","","","","","R.N.A. (140,000)",---
1,0025,"Indian Creek, Agent ","","Saddle Up Jessie","","DB/BR",Filly,"Saddle Up Jessie","More Than Ready","Zondaq","","","","","Out",0
1,0026,"Stonehaven Steadings ","","Ghostinyou","","DB/BR",Colt,"Ghostinyou","Ghostzapper","Abatis","","","","","R.N.A. (200,000)",---
1,0027,"Mt. Brilliant Farm ","","Froskurinn","","CH",Filly,"Froskurinn","Speightstown","Abingdon","","","","","Patrick Masson, Agent for Green Lantern",400000
1,0028,"Dromoland Farm Inc. (Gerry Dilger), Agent II ","","Beyond Perfection","","CH",Filly,"Beyond Perfection","Curlin","Above Perfection","","","","","Out",0
1,0029,"Beau Lane Bloodstock, Agent IV ","","Best Actor","","DB/BR",Colt,"Best Actor","Flatter","Abraqat","","","","","Ben Glass, Agent",330000
1,0030,"Lane's End, Agent ","","Airglow","","CH",Filly,"Airglow","Kitten's Joy","Absolute Crackers (IRE)","","","","","Flaxman Stables Ireland LTD",130000
1,0031,"Taylor Made Sales Agency, Agent CCVIII ","","Omnia Vincit","","CH",Colt,"Omnia Vincit","Curlin","Academic","","","","","ANW Racing",130000
1,0032,"Gainesway, Agent XLIII ","","Veronica Greene","","B",Filly,"Veronica Greene","Tapit","Adorable Miss","","","","","White Birch Farm, Inc.",260000
1,0033,"Taylor Made Sales Agency, Agent CXCVII ","","Palm Island","","DB/BR",Colt,"Palm Island","Uncle Mo","Afleet Maggi","","","","","Knights Bloodstock",335000
