Session,Hip,PropertyLine1,PropertyLine2,Description,DOB,Color,Sex,Horse Name,Sire,Dam,CoveringSire,LastService,Pregnancy,SoldAs,Purchaser,Price
1,0001,"Woods Edge Farm, Agent X ","","Gun Finger","","B",Colt,"Gun Finger","Curlin","Daddy Is a Legend","","","","","Mitsu Nakauchida, Agent",550000
1,0002,"Clearsky Farms, Agent I ","","Into Mischief --- Daisy","","B",Colt,"","Into Mischief","Daisy","","","","","Belladonna Racing, Cherie DeVaux, Agent",560000
1,0003,"Gainesway, Agent XXVII ","","American Pharoah --- Daisy Mason","","B",Filly,"","American Pharoah","Daisy Mason","","","","","Out",0
1,0004,"Hunter Valley Farm, Agent ","","Slide Away","","B",Colt,"Slide Away","Not This Time","Dalsaros","","","","","Case Clay Thoroughbred Management",675000
1,0005,"Stone Farm, Agent ","","Countess Kitty","","CH",Filly,"Countess Kitty","Curlin","Dame Dorothy","","","","","Out",0
1,0006,"Gainesway, Agent XV ","","Uncle Mo --- Danceforthecause","","B",Colt,"","Uncle Mo","Danceforthecause","","","","","R.N.A. (240,000)",---
1,0007,"Indian Creek, Agent ","","Vanilla Thunder","","B",Colt,"Vanilla Thunder","War Front","Dark Lightning","","","","","Legion Bloodstock, Agent for Hoolie Racing ",325000
1,0008,"Glen Hill Farm, Agent ","","Mardi Gras Queen","","DB/BR",Filly,"Mardi Gras Queen","Charlatan","Data Dependent","","","","","Out",0
1,0009,"Taylor Made Sales Agency, Agent CXXI ","","Not This Time --- Dawnie Macho","","DB/BR",Filly,"","Not This Time","Dawnie Macho","","","","","Out",0
1,0010,"Summerfield (Francis and Barbara Vanlangendonck), Agent for Stonestreet Bred & Raised","","Curlin --- Dawn the Destroyer","","CH",Filly,"","Curlin","Dawn the Destroyer","","","","","Mike Ryan, Agent",525000
1,0011,"Hunter Valley Farm, Agent ","","Into Mischief --- Day of Victory","","B",Colt,"","Into Mischief","Day of Victory","","","","","R.N.A. (575,000)",---
1,0012,"Hill 'n' Dale at Xalapa, Agent ","","Uncle Mo --- Deceptive Vision","","B",Colt,"","Uncle Mo","Deceptive Vision","","","","","Out",0
1,0013,"Wynnstay Sales, Agent III ","","Uncle Mo --- Delta's Kingdom","","DB/BR",Colt,"","Uncle Mo","Delta's Kingdom","","","","","Albaugh Family Stable, LLC",225000
1,0014,"Machmer Hall Sales, Agent for Machmer Hall I ","","Current Yield","","DB/BR",Filly,"Current Yield","Nyquist","Denali Tizadream","","","","","Klaravich Stable, Inc.",400000
1,0015,"Glennwood Farm Inc., Agent ","","Into Mischief --- Devil by Design","","B",Colt,"","Into Mischief","Devil by Design","","","","","Belladonna Racing, Cherie DeVaux, Agent",900000
1,0016,"St George Sales, Agent XXII ","","Uncle Mo --- Discern","","GR/RO",Colt,"","Uncle Mo","Discern","","","","","Resolute Bloodstock ",500000
1,0017,"Hunter Valley Farm, Agent ","","Gun Runner --- Diva Delite","","B",Colt,"","Gun Runner","Diva Delite","","","","","Out",0
1,0018,"Taylor Made Sales Agency, Agent CLXVIII ","","Into Mischief --- Divine Elegance","","B    ",Filly,"","Into Mischief","Divine Elegance","","","","","deMeric Sales",190000
