Session,Hip,PropertyLine1,PropertyLine2,Description,DOB,Color,Sex,Horse Name,Sire,Dam,CoveringSire,LastService,Pregnancy,SoldAs,Purchaser,Price
1,0001,"Ballysax Bloodstock, Agent for HnR Nothhaft Horseracing LLC ","","Envied","","B",Filly,"Envied","American Pharoah","Halljoy (IRE)","","","","","R.N.A. (335,000)",---
1,0002,"Stony Point, Agent I ","","Guising","","DB/BR",Colt,"Guising","Bernardini","Halloween Fun","","","","","Laura McKinney",55000
1,0003,"Anderson Farms, Agent ","","Halo Again","","B",Colt,"Halo Again","Speightstown","Halo's Verse","","","","","Winchell Thoroughbreds LLC",600000
1,0004,"South Point Sales Agency, Agent XIV ","","Wasiyah","","CH",Filly,"Wasiyah","Distorted Humor","Hangingbyamoment","","","","","Stacy Leppala",70000
1,0005,"Denali Stud (Craig & Holly Bandoroff), Agent XII ","","Brooke and Emory","","DB/BR",Filly,"Brooke and Emory","Speightstown","Hard Not to Like","","","","","R.N.A. (185,000)",---
1,0006,"Hunter Valley Farm, Agent ","","American Code","","B",Colt,"American Code","American Pharoah","Harmony Lodge","","","","","Byerley Racing",350000
1,0007,"Taylor Made Sales Agency, Agent LXXVII ","","Unpopular Opinion","","CH",Colt,"Unpopular Opinion","Carpe Diem","Hasiti","","","","","R.N.A. (95,000)",---
1,0008,"Timber Town (Mr. & Mrs. T. Wayne Sweezey), Agent I ","","Marvelous Guy","","B",Colt,"Marvelous Guy","Tapit","Havre de Grace","","","","","Mataichiro Yamamoto",550000
1,0009,"Taylor Made Sales Agency, Agent CXXXVI ","","Happy Hepo","","B",Colt,"Happy Hepo","American Pharoah","Heart of Paradise","","","","","R.N.A. (240,000)",---
1,0010,"Taylor Made Sales Agency, Agent CXLI ","","Tawreed","","CH",Filly,"Tawreed","Speightstown","Hearty Laugh","","","","","Shadwell Estate Company, Ltd.",450000
1,0011,"Bedouin Bloodstock, Agent XI ","","Dark Lightning","","DB/BR",Filly,"Dark Lightning","Speightstown","Heatherdoesntbluff","","","","","Mike Ryan, Agent",310000
1,0012,"Ashview Farm (Bryan Lyster & Gray Lyster), Agent ","","Oorah","","B",Colt,"Oorah","Honor Code","Heir Worthy","","","","","Centennial Farms",375000
1,0013,"KatieRich Farms ","","Make Us Smile","","B",Colt,"Make Us Smile","Empire Maker","Her Smile","","","","","R.N.A. (175,000)",---
1,0014,"Eaton Sales, Agent ","","Koko Star","","B",Colt,"Koko Star","Kitten's Joy","High Chant","","","","","R.N.A. (290,000)",---
1,0015,"Paramount Sales, Agent XXIX ","","Moonhak War","","B",Colt,"Moonhak War","Declaration of War","High Maintenance (GB)","","","","","Pleasant Valley Farm",100000
1,0016,"Taylor Made Sales Agency, Agent CXLI ","","Hit the Road","","B",Colt,"Hit the Road","More Than Ready","Highway Mary","","","","","Radley Equine / Boomer Bloodstock",160000
1,0017,"Select Sales, Agent LXIV ","","Lady Palace","","DB/BR",Filly,"Lady Palace","Palace Malice","Hi Lili","","","","","R.N.A. (115,000)",---
1,0018,"Taylor Made Sales Agency, Agent CXLI ","","Fashion Code","","DB/BR",Filly,"Fashion Code","Honor Code","Holiday Fashion","","","","","Bluewater Sales, Agent for Martin S. Schwartz",275000
1,0019,"Taylor Made Sales Agency, Agent CLXXXII ","","Hollow Rock","","CH",Filly,"Hollow Rock","Speightstown","Holy Heavens","","","","","Green Lantern Stables LLC, Patrick Masson, Agent",125000
1,0020,"Taylor Made Sales Agency, Agent CXXVII ","","U S Pacific Fleet","","DB/BR",Colt,"U S Pacific Fleet","War Front","Homebound","","","","","Hartley/De Renzo Thoroughbreds",725000
1,0021,"Taylor Made Sales Agency, Agent CXXVII ","","Be All You Can Be","","B",Filly,"Be All You Can Be","War Front","Homesteading","","","","","Hartley/De Renzo Thoroughbreds",275000
1,0022,"Taylor Made Sales Agency, Agent LXXIX ","","That's My Cue","","DB/BR",Filly,"That's My Cue","Quality Road","Hondo's Way","","","","","Kim Valerio, Agent",150000
1,0023,"Taylor Made Sales Agency, Agent XXXI ","","Venus Oyzo","","B",Filly,"Venus Oyzo","Street Sense","Honest Answer","","","","","R.N.A. (170,000)",---
1,0024,"Darby Dan Farm, Agent IV ","","U S S Colton","","B",Colt,"U S S Colton","Speightstown","Honor Bestowed","","","","","Zoom and Fish USA LLC",175000
1,0025,"Bedouin Bloodstock, Agent XI ","","Rifle","","B",Colt,"Rifle","Pioneerof the Nile","Hooh Why","","","","","R.N.A. (585,000)",---
1,0026,"Select Sales, Agent for Machmer Hall ","","Obstructed View","","B",Colt,"Obstructed View","Into Mischief","Hopeoverexperience","","","","","R.N.A. (325,000)",---
1,0027,"Taylor Made Sales Agency, Agent LXXXIX ","","Harris Bay","","CH",Colt,"Harris Bay","Carpe Diem","Hot Spa","","","","","Ted Sprinkle",170000
1,0028,"Clarkland Farm, LLC ","","Hot Mist","","DB/BR",Filly,"Hot Mist","Tonalist","Hot Stones","","","","","L.E.B., Agent for West Point Thourghbreds",110000
1,0029,"Taylor Made Sales Agency, Agent L ","","Peachy Keen","","CH",Colt,"Peachy Keen","Will Take Charge","Humorous Miss","","","","","Lael Stable",325000
1,0030,"Gainesway, Agent XXV ","","Pitcher's Point","","DB/BR",Colt,"Pitcher's Point","Medaglia d'Oro","Hungry Island","","","","","Godolphin",800000
1,0031,"Bluegrass Thoroughbred Services Inc. (Sandy Stuart), Agent VI","","Moving Sun","","CH",Colt,"Moving Sun","Karakontie (JPN)","I Bet Toni Knows","","","","","Cromwell Bloodstock",100000
1,0032,"James M. Herbener Jr., Agent I ","","Tok Tacker","","DB/BR",Colt,"Tok Tacker","Uncle Mo","Ice Mint","","","","","Mataichiro Yamamoto",100000
1,0033,"Dromoland Farm Inc. (Gerry Dilger), Agent XXVII ","","Sex Symbol","","B",Filly,"Sex Symbol","Uncle Mo","Icon Project","","","","","R.N.A. (325,000)",---
1,0034,"Blandford Stud (Padraig Campion), Agent ","","Elijah Ghost","","CH",Colt,"Elijah Ghost","Ghostzapper","Ihavetogo","","","","","L&N Racing",130000
