Unnamed: 0,Sire,breeding_year,Fee
1278,Violence,2022,40000.0
1279,Orb,2022,
1280,Noble Mission (GB),2022,
1281,Giant's Causeway,2022,2.0
1282,Commissioner,2022,2.0
1283,Creative Cause,2022,2.0
1284,Flat Out,2022,2.0
1285,Maclean's Music,2022,2.0
1286,Congrats,2022,2.0
1287,Street Boss,2022,2.0
1288,Cross Traffic,2022,
1289,Midnight Lute,2022,2.0
1290,Tale of the Cat,2022,2.0
1291,Elusive Quality,2022,2.0
1292,Frankel (GB),2022,375651.0
1293,Verrazano,2022,
1294,English Channel,2022,2.0
1295,Bayern,2022,
1296,Mr Speaker,2022,2.0
1297,Daredevil,2022,
1298,Gleneagles (IRE),2022,2.0
1299,Take Charge Indy,2022,2.0
1300,Summer Front,2022,250000.0
1301,Zoffany (IRE),2022,
1302,Twirling Candy,2022,
1303,Graydar,2022,
1304,Tale of Ekati,2022,2.0
1305,First Samurai,2022,
1306,Include,2022,2.0
1307,Paynter,2022,
1308,Strong Mandate,2022,2.0
1309,Tapiture,2022,2.0
1310,Kantharos,2022,2.0
1311,Shackleford,2022,2.0
1312,Palace,2022,2.0
1313,Dialed In,2022,2.0
1314,Lookin At Lucky,2022,
1315,Competitive Edge,2022,2.0
1316,Wicked Strong,2022,2.0
1317,Goldencents,2022,
1318,Sky Mesa,2022,2.0
1319,The Factor,2022,2.0
1320,Fort Larned,2022,
1321,Point of Entry,2022,2.0
1322,Tapizar,2022,2.0
1323,Fast Anna,2022,
1324,Conquest Curlinate,2022,2.0
1325,Midshipman,2022,2.0
1326,Revolutionary,2022,2.0
1327,Broken Vow,2022,2.0
1328,Colonel John,2022,2.0
1329,Macho Uno,2022,
1330,Secret Circle,2022,2.0
1331,Majesticperfection,2022,
1332,Mizzen Mast,2022,
1333,Stormy Atlantic,2022,2.0
1334,Gemologist,2022,2.0
1335,Medal Count,2022,2.0
1336,Warrior's Reward,2022,
1337,Proud Citizen,2022,2.0
1338,Algorithms,2022,2.0
1339,Danza,2022,2.0
1340,Oxbow,2022,2.0
1341,Data Link,2022,2.0
1342,Jack Milton,2022,
1343,Race Day,2022,
1344,Get Stormy,2022,
1345,Itsmyluckyday,2022,
1346,Astrology,2022,
1347,Frac Daddy,2022,2.0
1348,Run Away and Hide,2022,2.0
1349,Jimmy Creed,2022,2.0
1350,Justin Phillip,2022,2.0
1351,Stay Thirsty,2022,
1352,Society's Chairman,2022,2.0
1353,Overanalyze,2022,2.0
1354,Alternation,2022,2.0
1355,Liaison,2022,
1356,Magician (IRE),2022,
1357,Archarcharch,2022,2.0
1358,To Honor and Serve,2022,2.0
1359,Shakin It Up,2022,2.0
1360,Flashback,2022,
1361,Dominus,2022,2.0
1362,Sky Kingdom,2022,2.0
1363,Atreides,2022,2.0
1364,Successful Appeal,2022,2.0
1365,Northern Afleet,2022,2500.0
1366,Afleet Alex,2022,2.0
1367,Girolamo,2022,2.0
1368,Handsome Mike,2022,2.0
1369,Mark Valeski,2022,2.0
1370,Istan,2022,2.0
1371,Discreet Cat,2022,2.0
1372,Trappe Shot,2022,2.0
1373,Morning Line,2022,
1374,Central Banker,2022,2.0
1375,Silver Max,2022,2.0
1376,Conveyance,2022,2.0
1377,Jersey Town,2022,
1378,Mission Impazible,2022,
1379,Backtalk,2022,2.0
1380,Alpha,2022,2.0
1381,Birdstone,2022,2.0
1382,Hampton Court (AUS),2022,2.0
1383,Custom for Carlos,2022,2.0
1384,Big Brown,2022,2.0
1385,New Year's Day,2022,2.0
1386,Real Solution,2022,2.0
1387,Can the Man,2022,2.0
1388,Uncaptured,2022,2.0
1389,Red Rocks (IRE),2022,2.0
1390,Raison d'Etat,2022,2.0
1391,First Defence,2022,2.0
1392,Aikenite,2022,
1393,Japan,2022,2.0
1394,Perfect Soul (IRE),2022,2.0
1395,Americain,2022,2.0
1396,Grey Swallow (IRE),2022,2.0
1397,Soldat,2022,2.0
1398,Micromanage,2022,2.0
1399,Sidney's Candy,2022,2.0
1400,Haynesfield,2022,2.0
1401,Gio Ponti,2022,2.0
1402,He's Had Enough,2022,2.0
1403,Giacomo,2022,2500.0
1404,Line of David,2022,2.0
1405,Dunkerque (FR),2022,75000.0
1406,Mr. Sidney,2022,2.0
1407,Majestic City,2022,2.0
1408,Tizway,2022,2500.0
1409,Albertus Maximus,2022,2.0
1410,The Big Beast,2022,2.0
1411,Revolving,2022,
1412,Artie Schiller,2022,2.0
1413,Musketier (GER),2022,2.0
1414,Caleb's Posse,2022,2.0
1415,Stroll,2022,2.0
1416,Awesome of Course,2022,2.0
1417,Langfuhr,2022,
1418,Daaher,2022,2.0
1419,Chitu,2022,2.0
1420,Normandy Invasion,2022,2.0
1421,General Quarters,2022,2.0
1422,Seek Again,2022,
1423,Holiday Promise,2022,90000.0
1424,Notional,2022,2.0
1425,Snapy Halo (ARG),2022,
1426,Hakassan (CHI),2022,2.0
1427,Even the Score,2022,2.0
1428,Kettle Corn,2022,
1429,Power Broker,2022,2.0
1430,Awesome Patriot,2022,2.0
1431,Paddy O'Prado,2022,2.0
1432,Gauntlet,2022,2.0
1433,Golden Ticket,2022,2.0
1434,Magna Graduate,2022,2.0
1435,Blueskiesnrainbows,2022,2.0
1436,Smarty Jones,2022,2.0
1437,War Command,2022,2.0
1438,Daddy Long Legs,2022,2.0
1439,Slew's Tiznow,2022,2.0
1440,Capo Bastone,2022,2.0
1441,Court Vision,2022,2.0
1442,I Want Revenge,2022,2.0
1443,Bellamy Road,2022,2.0
1444,Skipshot,2022,2.0
1445,Ready's Image,2022,2.0
1446,Grasshopper,2022,
1447,Dunkirk,2022,75000.0
