Sire,foal_count,total_sales,median_price,variance_sales,gini_coef,years_active,avg_price,foals_per_year
Keen Ice,37,488800,5000.0,14344.81679104926,0.5275910116335648,3,13210.81081081081,12.333333333333334
Kettle Corn,1,15000,15000.0,,0.0,1,15000.0,1.0
Khozan,3,23500,4500.0,6211.548384528074,0.3120567375886525,3,7833.333333333333,1.0
Kingman (GB),5,1710000,300000.0,166230.26198619793,0.21871345029239767,4,342000.0,1.25
Kitten's Joy,188,19733500,57500.0,142826.14474158117,0.6083111988523674,7,104965.4255319149,26.857142857142858
Klimt,84,2371600,20000.0,27682.243159566773,0.4996114738693589,4,28233.333333333332,21.0
Knicks Go,39,2404000,40000.0,77163.61195179171,0.5283501855881223,1,61641.02564102564,39.0
Known Agenda,21,478500,17000.0,19341.38789524386,0.4457381698761009,1,22785.714285714286,21.0
Kobe's Back,3,19500,5000.0,3041.38126514911,0.18803418803418812,2,6500.0,1.5
Langfuhr,1,1100,1100.0,,0.0,1,1100.0,1.0
Laoban,37,2599000,50000.0,67812.30444125633,0.5058494431330137,5,70243.24324324324,7.4
Le Havre (IRE),2,410000,205000.0,134350.28842544404,0.23170731707317072,2,205000.0,1.0
Lea,60,3293700,15000.0,101785.01841909873,0.6944940340650333,4,54895.0,15.0
Lemon Drop Kid,77,5410500,45000.0,66990.74879255149,0.46751566518686005,5,70266.23376623377,15.4
Leofric,3,76000,3000.0,38682.46803570493,0.587719298245614,2,25333.333333333332,1.5
Lexitonian,12,460000,28500.0,32508.274005057217,0.3833333333333333,1,38333.333333333336,12.0
Liaison,8,71000,4500.0,9668.616387940048,0.5,1,8875.0,8.0
Liam's Map,320,47092000,120000.0,125139.76574928864,0.4323525625371613,7,147162.5,45.714285714285715
Line of David,1,1500,1500.0,,0.0,1,1500.0,1.0
Lone Sailor,1,14000,14000.0,,0.0,1,14000.0,1.0
Lookin At Lucky,73,3475500,31000.0,49495.1769939466,0.5162793172560172,7,47609.58904109589,10.428571428571429
Lope de Vega (IRE),3,810000,300000.0,60827.6253029822,0.09053497942386828,2,270000.0,1.5
Lord Kanaloa (JPN),1,375000,375000.0,,0.0,1,375000.0,1.0
Lord Nelson,62,3242000,29000.0,66715.54175280035,0.4941493701617878,4,52290.32258064516,15.5
Lost Treasure (IRE),2,67000,33500.0,44547.72721475249,0.4701492537313432,2,33500.0,1.0
Macho Uno,18,969200,37000.0,60013.57907342816,0.5044825056174623,5,53844.444444444445,3.6
Maclean's Music,232,25023900,66000.0,112358.10654508408,0.5150856643118145,7,107861.63793103448,33.142857142857146
Magician (IRE),5,46600,4500.0,12885.534525195297,0.5733905579399142,1,9320.0,5.0
Magna Graduate,1,11000,11000.0,,0.0,1,11000.0,1.0
Majestic City,7,67500,3000.0,13798.291819745555,0.5566137566137567,3,9642.857142857143,2.3333333333333335
Majesticperfection,17,653000,17000.0,53292.012562307835,0.5987748851454824,2,38411.76470588235,8.5
Malibu Moon,187,23654500,95000.0,117165.27465146285,0.47316951257875317,6,126494.65240641711,31.166666666666668
