Sire,foal_count,total_sales,median_price,variance_sales,gini_coef,years_active,avg_price,foals_per_year
Tom's Ready,3,39000,14000.0,7549.83443527075,0.2564102564102564,2,13000.0,1.5
Tom's d'Etat,35,1234200,25000.0,35690.508589278244,0.5092853670393778,2,35262.857142857145,17.5
Tonalist,106,6402500,35000.0,73854.37472329038,0.5634790360487133,7,60400.943396226416,15.142857142857142
Too Much Bling,2,56000,28000.0,7071.067811865475,0.08928571428571419,2,28000.0,1.0
Tourist,38,953500,15000.0,27208.617291357146,0.48898793917147354,5,25092.105263157893,7.6
Trappe Shot,11,177500,15000.0,11081.721231584264,0.34775928297055053,3,16136.363636363636,3.6666666666666665
Treasure Beach (GB),1,1500,1500.0,,0.0,1,1500.0,1.0
Tu Brutus (CHI),2,25000,12500.0,10606.601717798212,0.30000000000000004,1,12500.0,2.0
Twirling Candy,296,36383900,80000.0,139306.70184523353,0.528648781243679,7,122918.58108108108,42.285714285714285
Uncaptured,6,213500,29500.0,28299.146041297194,0.40163934426229514,3,35583.333333333336,2.0
Uncle Chuck,8,366500,32500.0,46210.64928285316,0.459924965893588,1,45812.5,8.0
Uncle Mo,365,116964000,250000.0,285924.3171606087,0.43246468999008236,7,320449.31506849313,52.142857142857146
Unified,89,3555700,20000.0,61876.910645173666,0.6099755006441627,5,39951.68539325843,17.8
Union Jackson,2,27000,13500.0,4949.747468305833,0.12962962962962954,2,13500.0,1.0
Union Rags,243,28307200,52000.0,149855.2837475809,0.5771232190690452,7,116490.53497942387,34.714285714285715
Upstart,130,9028700,47000.0,71726.85509487246,0.5134758304926769,6,69451.53846153847,21.666666666666668
Vancouver (AUS),24,916200,22500.0,44890.20663991104,0.5743560358000437,2,38175.0,12.0
Vekoma,92,11894000,92500.0,131303.82317333002,0.4769695717972525,2,129282.60869565218,46.0
Verrazano,61,2085200,12000.0,43032.17470810985,0.6040164406134727,3,34183.60655737705,20.333333333333332
Vino Rosso,128,9672500,50000.0,84124.28401945792,0.5057472053502197,3,75566.40625,42.666666666666664
Violence,231,23985000,60000.0,115282.27956109219,0.5126961565985956,7,103831.16883116883,33.0
Volatile,92,10007500,62500.0,156836.64358161791,0.5616380106224679,2,108777.17391304347,46.0
War Dancer,2,22000,11000.0,5656.85424949238,0.18181818181818188,2,11000.0,1.0
War Front,102,40245000,250000.0,446800.6526832813,0.4801115228051713,7,394558.82352941175,14.571428571428571
War of Will,60,5128500,70000.0,76602.56362705682,0.4569318514185434,2,85475.0,30.0
Warrior's Reward,9,117000,7500.0,14771.171246722448,0.48528015194681856,1,13000.0,9.0
We Miss Artie,9,29600,1700.0,3520.8111439142986,0.457957957957958,2,3288.8888888888887,4.5
West Coast,73,4168200,40000.0,61696.29129217188,0.4975900375511127,4,57098.6301369863,18.25
What Now,1,14000,14000.0,,0.0,1,14000.0,1.0
Wicked Strong,42,1388700,17500.0,38788.141395173676,0.561081449934334,4,33064.28571428572,10.5
Will Take Charge,106,7864000,31000.0,100768.08481974337,0.6018361676807616,6,74188.67924528301,17.666666666666668
Win Win Win,10,702500,65000.0,72442.026629728,0.4857651245551601,2,70250.0,5.0
Winslow Homer,1,2700,2700.0,,0.0,1,2700.0,1.0
Without Parole (GB),1,95000,95000.0,,0.0,1,95000.0,1.0
Wootton Bassett (GB),5,1375000,300000.0,127475.48783981962,0.2327272727272728,4,275000.0,1.25
World of Trouble,17,703500,30000.0,33301.43081186824,0.37953091684434964,3,41382.35294117647,5.666666666666667
Yaupon,71,13017000,140000.0,158989.12304772588,0.4320352475148965,1,183338.02816901408,71.0
Yorkton,4,44500,5000.0,14061.620342857597,0.5196629213483146,2,11125.0,2.0
Yoshida (JPN),39,1119000,22000.0,24733.478107036524,0.4404344538392796,3,28692.30769230769,13.0
Zoffany (IRE),3,270000,75000.0,54083.26913195984,0.25925925925925924,2,90000.0,1.5
