,Session,Hip,PropertyLine1,PropertyLine2,Description,DOB,Color,Sex,Horse Name,Sire,Dam,CoveringSire,LastService,Pregnancy,SoldAs,Purchaser,Price,filename,sale_year
1,1,0002,"Stony Point, Agent I ",,Guising,,DB/BR,Colt,Guising,Bernardini,Halloween Fun,,,,,Laura McKinney,55000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
2,1,0003,"Anderson Farms, Agent ",,Halo Again,,B,Colt,Halo Again,Speightstown,Halo's Verse,,,,,Winchell Thoroughbreds LLC,600000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
3,1,0004,"South Point Sales Agency, Agent XIV ",,Wasiyah,,CH,Filly,Wasiyah,Distorted Humor,Hangingbyamoment,,,,,Stacy Leppala,70000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
5,1,0006,"Hunter Valley Farm, Agent ",,American Code,,B,Colt,American Code,American Pharoah,Harmony Lodge,,,,,Byerley Racing,350000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
7,1,0008,"Timber Town (Mr. & Mrs. T. Wayne Sweezey), Agent I ",,Marvelous Guy,,B,Colt,Marvelous Guy,Tapit,Havre de Grace,,,,,Mataichiro Yamamoto,550000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
9,1,0010,"Taylor Made Sales Agency, Agent CXLI ",,Tawreed,,CH,Filly,Tawreed,Speightstown,Hearty Laugh,,,,,"Shadwell Estate Company, Ltd.",450000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
10,1,0011,"Bedouin Bloodstock, Agent XI ",,Dark Lightning,,DB/BR,Filly,Dark Lightning,Speightstown,Heatherdoesntbluff,,,,,"Mike Ryan, Agent",310000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
11,1,0012,"Ashview Farm (Bryan Lyster & Gray Lyster), Agent ",,Oorah,,B,Colt,Oorah,Honor Code,Heir Worthy,,,,,Centennial Farms,375000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
14,1,0015,"Paramount Sales, Agent XXIX ",,Moonhak War,,B,Colt,Moonhak War,Declaration of War,High Maintenance (GB),,,,,Pleasant Valley Farm,100000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
15,1,0016,"Taylor Made Sales Agency, Agent CXLI ",,Hit the Road,,B,Colt,Hit the Road,More Than Ready,Highway Mary,,,,,Radley Equine / Boomer Bloodstock,160000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
17,1,0018,"Taylor Made Sales Agency, Agent CXLI ",,Fashion Code,,DB/BR,Filly,Fashion Code,Honor Code,Holiday Fashion,,,,,"Bluewater Sales, Agent for Martin S. Schwartz",275000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
18,1,0019,"Taylor Made Sales Agency, Agent CLXXXII ",,Hollow Rock,,CH,Filly,Hollow Rock,Speightstown,Holy Heavens,,,,,"Green Lantern Stables LLC, Patrick Masson, Agent",125000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
19,1,0020,"Taylor Made Sales Agency, Agent CXXVII ",,U S Pacific Fleet,,DB/BR,Colt,U S Pacific Fleet,War Front,Homebound,,,,,Hartley/De Renzo Thoroughbreds,725000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
20,1,0021,"Taylor Made Sales Agency, Agent CXXVII ",,Be All You Can Be,,B,Filly,Be All You Can Be,War Front,Homesteading,,,,,Hartley/De Renzo Thoroughbreds,275000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
21,1,0022,"Taylor Made Sales Agency, Agent LXXIX ",,That's My Cue,,DB/BR,Filly,That's My Cue,Quality Road,Hondo's Way,,,,,"Kim Valerio, Agent",150000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
23,1,0024,"Darby Dan Farm, Agent IV ",,U S S Colton,,B,Colt,U S S Colton,Speightstown,Honor Bestowed,,,,,Zoom and Fish USA LLC,175000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
26,1,0027,"Taylor Made Sales Agency, Agent LXXXIX ",,Harris Bay,,CH,Colt,Harris Bay,Carpe Diem,Hot Spa,,,,,Ted Sprinkle,170000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
27,1,0028,"Clarkland Farm, LLC ",,Hot Mist,,DB/BR,Filly,Hot Mist,Tonalist,Hot Stones,,,,,"L.E.B., Agent for West Point Thourghbreds",110000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
28,1,0029,"Taylor Made Sales Agency, Agent L ",,Peachy Keen,,CH,Colt,Peachy Keen,Will Take Charge,Humorous Miss,,,,,Lael Stable,325000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
29,1,0030,"Gainesway, Agent XXV ",,Pitcher's Point,,DB/BR,Colt,Pitcher's Point,Medaglia d'Oro,Hungry Island,,,,,Godolphin,800000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
30,1,0031,"Bluegrass Thoroughbred Services Inc. (Sandy Stuart), Agent VI",,Moving Sun,,CH,Colt,Moving Sun,Karakontie (JPN),I Bet Toni Knows,,,,,Cromwell Bloodstock,100000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
31,1,0032,"James M. Herbener Jr., Agent I ",,Tok Tacker,,DB/BR,Colt,Tok Tacker,Uncle Mo,Ice Mint,,,,,Mataichiro Yamamoto,100000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
33,1,0034,"Blandford Stud (Padraig Campion), Agent ",,Elijah Ghost,,CH,Colt,Elijah Ghost,Ghostzapper,Ihavetogo,,,,,L&N Racing,130000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
34,1,0035,"Hill 'n' Dale Sales Agency, Agent ",,Bonding Time,,B,Colt,Bonding Time,Kitten's Joy,Imagistic,,,,,Godolphin Japan,210000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
35,1,0036,"Eaton Sales, Agent for William D. Graham (Windhaven Farms)",,Defeatsnotanoption,,DB/BR,Colt,Defeatsnotanoption,Honor Code,I'm Breathtaking,,,,,"Mike Ryan, Agent",400000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
37,1,0038,"Eaton Sales, Agent ",,Into Fancy,,GR/RO,Filly,Into Fancy,Into Mischief,I'm So Fancy,,,,,"Tom McCrocklin, Agent",100000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
38,1,0039,"Taylor Made Sales Agency, Agent XXXVIII ",,Liam's Legend,,GR/RO,Colt,Liam's Legend,Liam's Map,Indian Legend,,,,,Pebble Farm,180000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
39,1,0040,"Burleson Farms, Agent ",,Ghost Game,,B,Colt,Ghost Game,Ghostzapper,Indian Princess,,,,,"Albaugh Family Stable, Kempton/Berkelhammer, Agent",325000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
42,1,0043,"Hunter Valley Farm, Agent ",,Inis Gluaire,,DB/BR,Colt,Inis Gluaire,Bernardini,Inish Glora,,,,,Scott & Evan Dilworth LLC,275000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
43,1,0044,"Denali Stud (Craig & Holly Bandoroff), Agent for Stonestreet Bred & Raised",,Wolfpack,,B,Colt,Wolfpack,Pioneerof the Nile,Inny Minnie,,,,,"SF Bloodstock, LLC/Starlight West",950000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
46,1,0047,"Paramount Sales, Agent LV ",,Clepat,,B,Filly,Clepat,American Pharoah,Intelyhente,,,,,J.S. Company,310000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
47,1,0048,"Mill Ridge Sales, Agent ",,Backroom,,DB/BR,Filly,Backroom,Fed Biz,Intensify,,,,,"Mike Ryan, Agent",250000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
49,1,0050,"Indian Creek, Agent ",,Feverdini,,B,Colt,Feverdini,Bernardini,Intentional Fever,,,,,Triple Crown,50000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
50,1,0051,"Lane's End, Agent ",,Market Analysis,,GR/RO,Colt,Market Analysis,Honor Code,Interest Free,,,,,China Horse Club/Maverick Racing,250000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
51,1,0052,"Betz Thoroughbreds, Inc., Agent ",,Man of Promise,,B,Colt,Man of Promise,Into Mischief,Involved,,,,,Godolphin,170000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
52,1,0053,"Scott Mallory, Agent VII ",,A Shin Amen Ra,,CH,Colt,A Shin Amen Ra,American Pharoah,I O Ireland,,,,,K.K. Eishindo,325000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
56,1,0057,Mt. Brilliant Farm ,,Established,,B,Colt,Established,Constitution,Ithinkisawapudycat,,,,,Twin Creeks Racing,400000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
57,1,0058,"Columbiana Farm LLC, Agent III ",,Union Appreciation,,B,Colt,Union Appreciation,Union Rags,I Thirtyfive,,,,,"Taproot Bloodstock, LLC",50000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
59,1,0060,"Trackside Farm (Tom Evans), Agent for Trackside Farm and Tenlane Farm",,Humphrey,,GR/RO,Colt,Humphrey,Liam's Map,It'schemistrybaby,,,,,"Jeffrey Bloom, Agent",100000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
60,1,0061,"Taylor Made Sales Agency, Agent CXXXIII ",,Whisky Man,,B,Colt,Whisky Man,Into Mischief,It's True Love,,,,,Winchell Thoroughbreds LLC,500000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
61,1,0062,"Greenfield Farm (B. D. Gibbs Farm LLC), Agent V ",,Dashboard,,B,Colt,Dashboard,City Zip,It Tiz,,,,,Burry Hill Farm,260000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
62,1,0063,"Eaton Sales, Agent ",,America's Surprise,,DB/BR,Filly,America's Surprise,American Pharoah,Ivanavinalot,,,,,Phoenix Thoroughbreds,325000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
64,1,0065,"Select Sales, Agent for Machmer Hall ",,Unbridled Tizzy,,B,Colt,Unbridled Tizzy,Tiznow,Jazz Flute,,,,,Bradley Thoroughbreds LLC,80000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
66,1,0067,"Gainesway, Agent LIX ",,Ajhar,,GR/RO,Colt,Ajhar,Tapit,Jojo Warrior,,,,,"Shadwell Estate Company, Ltd.",800000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
68,1,0069,"Taylor Made Sales Agency, Agent for Aaron & Marie Jones LLC ",,Saqqara King,,GR/RO,Colt,Saqqara King,American Pharoah,Joyful Victory,,,,,Godolphin,200000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
70,1,0071,Property of Beau Lane Bloodstock ,,Make Or Break,,CH,Filly,Make Or Break,Flatter,Julie From Dixie,,,,,Courtlandt Farm,100000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
72,1,0073,"Mill Ridge Sales, Agent ",,Duopoly,,CH,Filly,Duopoly,Animal Kingdom,Justaroundmidnight(IRE),,,,,Chilmark Bloodstock,160000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
73,1,0074,"Greenfield Farm (B. D. Gibbs Farm LLC), Agent XIII ",,Philly Special,,DB/BR,Filly,Philly Special,Blame,Justasprinkle,,,,,"F. Brothers, Agent for Starlight",300000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
74,1,0075,"Gainesway, Agent VII ",,Quality Warrior,,B,Colt,Quality Warrior,Quality Road,Just Parker,,,,,D. Wayne Lukas,200000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
75,1,0076,"Clearsky Farms, Agent II ",,Enforceable,,GR/RO,Colt,Enforceable,Tapit,Justwhistledixie,,,,,"Justin Casse, Agent",800000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
76,1,0077,"St. George Sales, Agent XXXIX ",,Convincingly,,B,Filly,Convincingly,Declaration of War,Kaloura (IRE),,,,,"Bobby Flay Thoroughbreds/James Delahooke, Agent",200000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
78,1,0079,"St. George Sales, Agent III ",,Mountain Lane,,B,Colt,Mountain Lane,Into Mischief,Katherine'skadence,,,,,Godolphin,875000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
80,1,0081,"Eaton Sales, Agent for Stonestreet Bred & Raised ",,Malahini,,DB/BR,Colt,Malahini,Curlin,Kauai Katie,,,,,"E 5 Racing/Mike Ryan, Agent",825000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
83,1,0084,"Timber Town (Mr. & Mrs. T. Wayne Sweezey), Agent for R. S. Evans",,Veteran,,B,Colt,Veteran,Quality Road,Kenny Lane,,,,,Fox Hill Farm,190000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
84,1,0085,"Taylor Made Sales Agency, Agent CXIII ",,Siamese,,B,Filly,Siamese,Kitten's Joy,Keri Keri,,,,,Willie Browne,65000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
85,1,0086,"St. George Sales, Agent XIX ",,High Velocity,,B,Colt,High Velocity,Quality Road,Ketel Twist,,,,,"Ben Glass, Agent",350000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
86,1,0087,"Sequel New York, Agent for Chester & Mary Broman ",,Homeland,,CH,Colt,Homeland,American Pharoah,Khancord Kid,,,,,Cromwell Bloodstock,500000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
88,1,0089,"Greenfield Farm (B. D. Gibbs Farm LLC), Agent II ",,Klatter,,DB/BR,Colt,Klatter,Flatter,Kids Kooler,,,,,"F. Brothers, Agent for Starlight",200000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
90,1,0091,"Woods Edge Farm (Peter O'Callaghan), Agent ",,Allah Maak,,CH,Colt,Allah Maak,American Pharoah,Kindle,,,,,Godolphin,2200000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
91,1,0092,"Paramount Sales, Agent LXXXVI ",,Life On Top,,CH,Colt,Life On Top,Carpe Diem,Kissed by a Star,,,,,Centennial Farms,250000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
92,1,0093,"Hermitage Farm, Agent ",,Blood Runner,,DB/BR,Colt,Blood Runner,Honor Code,Kiss the Devil,,,,,Calumet Farm,250000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
95,1,0096,"Mill Ridge Sales, Agent ",,Spectacularsunrise,,DB/BR,Filly,Spectacularsunrise,More Than Ready,Knit One Purr Too,,,,,"Hades Bloodstock, LLC",150000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
96,1,0097,"Taylor Made Sales Agency, Agent CXLI ",,Skye Snow,,B,Filly,Skye Snow,Lemon Drop Kid,Knysna,,,,,Phoenix Thoroughbreds,250000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
99,1,0100,"Castle Park Farm LLC (Noel Murphy), Agent II ",,Dynasty of Her Own,,DB/BR,Filly,Dynasty of Her Own,Shanghai Bobby,Lady Dynasty,,,,,Tommy Town Thoroughbreds,70000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
100,1,0101,"James B. Keogh (Grovendale), Agent XXX ",,Pioneer Woman,,B,Filly,Pioneer Woman,Pioneerof the Nile,Lady June Bug,,,,,Jerry Hollendorfer,170000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
103,1,0104,"Hunter Valley Farm, Agent ",,Wealth,,DB/BR,Colt,Wealth,More Than Ready,Lady of Substance,,,,,Thomas Haughey for PTK LLC,150000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
105,1,0106,"Havens Bloodstock Agency, Inc., Agent ",,Nucky,,DB/BR,Colt,Nucky,Ghostzapper,Lady Ten,,,,,Rockingham Ranch,110000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
106,1,0107,"Paramount Sales, Agent I ",,Joyous Times,,CH,Filly,Joyous Times,Kitten's Joy,La Malaguena,,,,,Kenneth L. and Sarah K. Ramsey,30000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
107,1,0108,"Scott Mallory, Agent VII ",,Stock Deal,,CH,Colt,Stock Deal,Curlin,La Rocca,,,,,Robert C.Baker and William Mack,375000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
109,1,0110,"Taylor Made Sales Agency, Agent CIX ",,Garfield,,CH,Colt,Garfield,Hard Spun,Last Kitten,,,,,Hoby and Layna Kight,135000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
110,1,0111,"Paramount Sales, Agent XVII ",,Mo Lauded,,B,Colt,Mo Lauded,Uncle Mo,Lauded,,,,,"J. J. Crupi, Agent",650000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
111,1,0112,"Eaton Sales, Agent ",,This Won Will,,GR/RO,Colt,This Won Will,Medaglia d'Oro,Laughing Lashes,,,,,Hartley/De Renzo Thoroughbreds,450000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
112,1,0113,"Taylor Made Sales Agency, Agent XVIII ",,Rare Diamond,,GR/RO,Colt,Rare Diamond,Uncle Mo,Lavender Baby,,,,,Michael McCarthy,250000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
113,1,0114,"Warrendale Sales, Agent XXXI ",,Anaconda,,DB/BR,Colt,Anaconda,Pioneerof the Nile,Lawn Party,,,,,Solis/Litt,150000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
116,1,0117,"Havens Bloodstock Agency, Inc., Agent ",,Osage Treaty,,B,Filly,Osage Treaty,Declaration of War,Legendary Peace,,,,,Clancy Bloodstock,170000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
117,1,0118,"Warrendale Sales, Agent XVIII ",,First Rate,,GR/RO,Colt,First Rate,Honor Code,Lemon Liqueur,,,,,Lynwood Stable,125000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
120,1,0121,"Betz Thoroughbreds, Inc., Agent ",,Echo Town,,B,Colt,Echo Town,Speightstown,Letgomyecho,,,,,L&N Racing,100000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
122,1,0123,Lakland Farm ,,Great Power,,B,Colt,Great Power,Blame,Lifeinthefastlane,,,,,"Ben McElroy, Agent",250000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
124,1,0125,"James B. Keogh (Grovendale), Agent IX ",,Sinui Yeolmae,,DB/BR,Colt,Sinui Yeolmae,Tonalist,Lightning Lydia,,,,,Triple Crown,20000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
127,1,0128,"Taylor Made Sales Agency, Agent CXLI ",,Dime a Dozen,,B,Filly,Dime a Dozen,More Than Ready,Lilbourne Eliza (IRE),,,,,Field Point Associates,250000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
129,1,0130,"Woodford Thoroughbreds, Agent XIII ",,Egyptian Goddess,,DB/BR,Filly,Egyptian Goddess,Pioneerof the Nile,Lisa T.,,,,,Tommy Town Thoroughbreds,185000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
130,1,0131,"Elm Tree Farm LLC (Mr. and Mrs. Jody Huckabay), Agent for Mr. and Mrs. Larry D. Williams",,Finding Fame,,B,Filly,Finding Fame,Empire Maker,Lochinvar's Gold,,,,,Hugo Merry Bloodstock,425000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
135,1,0136,"Lane's End, Agent ",,Quality Road --- Lough Derg,,B,Colt,,Quality Road,Lough Derg,,,,,Cromwell Bloodstock,625000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
136,1,0137,"Taylor Made Sales Agency, Agent VIII ",,McShady,,CH,Colt,McShady,Will Take Charge,Louisiana Times,,,,,Sippican Partners,410000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
139,1,0140,"Lane's End, Agent ",,Prairie Wings,,CH,Filly,Prairie Wings,Tapit,Love Me Only (IRE),,,,,"Shadwell Estate Company, Ltd.",800000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
140,1,0141,"Bedouin Bloodstock, Agent XI ",,Fort McHenry,,GR/RO,Colt,Fort McHenry,Tapit,Love the Chase,,,,,M. V.  Magnier,1100000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
142,1,0143,"Gainesway, Agent LIX ",,Sconset,,B,Filly,Sconset,Tapit,Lucky Number,,,,,New River Equine,900000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
143,1,0144,"Glennwood Farm Inc., Agent ",,Abeen,,CH,Colt,Abeen,Curlin,Luna Vega,,,,,"Shadwell Estate Company, Ltd.",450000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
144,1,0145,"Hunter Valley Farm, Agent ",,Open Lengths,,DB/BR,Colt,Open Lengths,Lea,Madame Pele,,,,,Jim & Susan Hill,255000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
145,1,0146,"Penn Sales, Agent for Hanson and Gilbert ",,Beverly Park,,B,Colt,Beverly Park,Munnings,Madeira Park,,,,,Thomas Haughey for PTK LLC,220000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
146,1,0147,"Terrazas Thoroughbreds, Agent I ",,Tapalist,,DB/BR,Colt,Tapalist,Tonalist,Magestic Stinger,,,,,Winchell Thoroughbreds LLC,275000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
148,1,0149,"Taylor Made Sales Agency, Agent XCV ",,Ansaam,,DB/BR,Filly,Ansaam,Bernardini,Maggie McGowan,,,,,"Shadwell Estate Company, Ltd.",600000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
150,1,0151,"Hill 'n' Dale Sales Agency, Agent ",,Money Cometh,,DB/BR,Colt,Money Cometh,Curlin,Magically,,,,,Hoby and Layna Kight,100000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
152,1,0153,"Columbiana Farm LLC, Agent I ",,Victory Won,,B,Colt,Victory Won,Declaration of War,Magical Victory,,,,,Phoenix Thoroughbreds,95000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
153,1,0154,"Frankfort Park Farm, Agent ",,Steeltoe,,B,Colt,Steeltoe,Mucho Macho Man,Mahaica Gap,,,,,Phoenix Thoroughbreds,190000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
155,1,0156,"Denali Stud (Craig & Holly Bandoroff), Agent for Stonestreet Bred & Raised",,Ellie's Smile,,B,Filly,Ellie's Smile,Tapit,Majestically,,,,,Bradley Thoroughbreds LLC,400000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
158,1,0159,"Eaton Sales, Agent ",,Suspiros,,B,Colt,Suspiros,Hard Spun,Malibu Mint,,,,,"Omega Farm, Agent",75000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
159,1,0160,"Four Star Sales, Agent for Spendthrift Farm LLC ",,Daysan,,B,Colt,Daysan,Temple City,Malibu Pier,,,,,"Shadwell Estate Company, Ltd.",190000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
160,1,0161,"James M. Herbener Jr., Agent I ",,Violator,,B,Colt,Violator,Violence,Malibu Queen,,,,,Winchell Thoroughbreds LLC,185000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
162,1,0163,"Taylor Made Sales Agency, Agent for Aaron & Marie Jones LLC ",,Classy Ruler,,DB/BR,Filly,Classy Ruler,Empire Maker,Mamma Kimbo,,,,,Mayberry Farm,700000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
164,1,0165,"Gainesway, Agent LVIII ",,American Nina,,DB/BR,Filly,American Nina,Carpe Diem,Mane Princess,,,,,Katsumi Yoshizawa,260000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
165,1,0166,"Stuart Morris, Agent IV ",,Conformity,,B,Colt,Conformity,Honor Code,Maria Maria,,,,,Courtlandt Farm,200000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
166,1,0167,"Betz Thoroughbreds, Inc., Agent ",,Ameriel,,B,Filly,Ameriel,American Pharoah,Mariel N Kathy,,,,,"Green Lantern Stables LLC, Patrick Masson, Agent",300000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
167,1,0168,"Denali Stud (Craig & Holly Bandoroff), Agent IX ",,Idol,,B,Colt,Idol,Curlin,Marion Ravenwood,,,,,John S.Holmes,375000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
168,1,0169,"Taylor Made Sales Agency, Agent CLXXXIV ",,Always Misbehaving,,B,Colt,Always Misbehaving,Into Mischief,Marquet Rent,,,,,Town and Country Racing LLC & Gary S. Broad,210000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
169,1,0170,"Hunter Valley Farm, Agent ",,Dr Post,,DB/BR,Colt,Dr Post,Quality Road,Mary Delaney,,,,,"Crupi's New Castle/J. J. Crupi, Agent",400000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
171,1,0172,"Hill 'n' Dale Sales Agency, Agent ",,With Authority,,GR/RO,Colt,With Authority,Malibu Moon,Maxie Ford,,,,,Rodolfo G. Mendoza,200000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
173,1,0174,"Clarkland Farm, LLC ",,Under the Oaks,,B,Filly,Under the Oaks,American Pharoah,Maybellene,,,,,"L.E.B., Agent for West Point Thbrds & Chris Larsen",375000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
175,1,0176,"Betz Thoroughbreds, Inc., Agent ",,Provocation,,B,Filly,Provocation,Into Mischief,Meadow Breeze,,,,,Weber Way Stable,160000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
177,1,0178,"Pope McLean (Crestwood Farm), Agent IX ",,Tiz Fake News,,DB/BR,Filly,Tiz Fake News,Tiznow,Media Madness,,,,,Tommy Town Thoroughbreds,200000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
178,1,0179,"Eaton Sales, Agent ",,Pharoah Cat,,DB/BR,Colt,Pharoah Cat,American Pharoah,Meerkat Miss,,,,,Beth Bowman Harper,475000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
180,1,0181,"Eaton Sales, Agent ",,Lord Ban,,DB/BR,Colt,Lord Ban,Malibu Moon,Melancholy,,,,,Ewing Bloodstock,15000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
181,1,0182,"James B. Keogh (Grovendale), Agent XII ",,Loud and Clear,,CH,Colt,Loud and Clear,Giant's Causeway,Melody Maiden,,,,,Godolphin Japan,150000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
183,1,0184,"Summerfield (Francis & Barbara Vanlangendonck), Agent for Old Tavern Farm",,Healy's Hope,,DB/BR,Colt,Healy's Hope,Ghostzapper,Memento d'Oro,,,,,"F. Brothers, Agent for Starlight",240000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
184,1,0185,"Hunter Valley Farm, Agent ",,Three Lions,,CH,Colt,Three Lions,Kitten's Joy,Menifeeque,,,,,Godolphin,600000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
185,1,0186,"James M. Herbener Jr., Agent I ",,Take a Time Out,,DB/BR,Filly,Take a Time Out,Violence,Merry Chip Us,,,,,Tommy Town Thoroughbreds,150000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
187,1,0188,"Winter Quarter Farm, Agent I ",,Hard Night,,B,Colt,Hard Night,Hard Spun,Midnight Kiss (NZ),,,,,Whitehorse Stables & Bridlewood Farm,260000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
189,1,0190,"Gainesway, Agent LVIII ",,Lovely Caroline,,GR/RO,Filly,Lovely Caroline,Tapit,Mighty Caroline,,,,,Whisper Hill Farm  LLC,500000.0,..\data\keeneland\sept-yearling\2018\lots.csv,2018
