Session,Hip,PropertyLine1,PropertyLine2,Description,DOB,Color,Sex,Horse Name,Sire,Dam,CoveringSire,LastService,Pregnancy,SoldAs,Purchaser,Price
1,0001,"Gainesway, Agent LXV ","","Illiogami","","GR/RO",Filly,"Illiogami","Tapit","Odeliz (IRE)","","","","","Reiko and Michael Baum",400000
1,0002,"Blake-Albina Thoroughbred Services LLC ","","Monorail","","B",Filly,"Monorail","Into Mischief","Off the Tracks","","","","","Out",0
1,0003,"Taylor Made Sales Agency, Agent VI ","","Gold for Kitten","","B",Filly,"Gold for Kitten","Kitten's Joy","Olympic Avenue","","","","","R.N.A. (95,000)",---
1,0004,"Gainesway, Agent L ","","Silver Devil","","GR/RO",Filly,"Silver Devil","Tapit","Ondine","","","","","Out",0
1,0005,"Taylor Made Sales Agency, Agent CLXXXI ","","Maritime Empire","","DB/BR",Filly,"Maritime Empire","Empire Maker","One Stormy Mama","","","","","R.N.A. (140,000)",---
1,0006,"Select Sales, Agent XXVII ","","On the Engine","","CH",Colt,"On the Engine","More Than Ready","Onna Bugeisha","","","","","R.N.A. (160,000)",---
1,0007,"Lane's End, Agent ","","Giverny","","GR/RO",Filly,"Giverny","Tapit","Oscar Party","","","","","Out",0
1,0008,"Woods Edge Farm (Peter O'Callaghan), Agent ","","American Smooth","","B",Colt,"American Smooth","Malibu Moon","Our Khrysty","","","","","R.N.A. (200,000)",---
1,0009,"Buck Pond Farm (Douglas S. Arnold), Agent ","","Cindy's Smile","","DB/BR",Filly,"Cindy's Smile","American Pharoah","Our Smile","","","","","R.N.A. (145,000)",---
1,0010,"Lane's End, Agent ","","Mamie Van D","","B",Filly,"Mamie Van D","Curlin","Overandabeauty","","","","","Shawn Dugan, Agent",750000
1,0011,"Elm Tree Farm LLC (Mr. and Mrs. Jody Huckabay), Agent X ","","Mozu Happy Road","","B",Colt,"Mozu Happy Road","Medaglia d'Oro","Overheard","","","","","Capital System Co. Ltd",425000
1,0012,"Woodford Thoroughbreds, Agent I ","","Nothngoodcomseasy","","B",Colt,"Nothngoodcomseasy","Medaglia d'Oro","Overprepared","","","","","China Horse Club and Maverick Racing",200000
1,0013,"Taylor Made Sales Agency, Agent CXXXVIII ","","Desert Eagle","","DB/BR",Colt,"Desert Eagle","Lemon Drop Kid","Oxbow Lake","","","","","Out",0
1,0014,"Taylor Made Sales Agency, Agent CLXXII ","","Now a Jaguar","","DB/BR",Colt,"Now a Jaguar","Street Sense","Panther Strike","","","","","Albaugh Family Stables",225000
1,0015,"Beau Lane Bloodstock, Agent I ","","Temper Time","","DB/BR",Filly,"Temper Time","Malibu Moon","Parading Lady","","","","","Mark Stanley",250000
1,0016,"Taylor Made Sales Agency, Agent LXXXI ","","Queen's Speech","","CH",Filly,"Queen's Speech","American Pharoah","Paradise Playgirl","","","","","MV Magnier",180000
1,0017,"Paramount Sales, Agent VIII ","","Taakeed","","DB/BR",Colt,"Taakeed","Hard Spun","Parting Words","","","","","Catlyn Spivey, Agent",130000
1,0018,"Taylor Made Sales Agency, Agent CXCVII ","","Pipistrella (GB)","","B",Filly,"Pipistrella (GB)","Giant's Causeway","Patsy Boyne (IRE)","","","","","Out",0
1,0019,"Taylor Made Sales Agency, Agent CXXXVIII ","","Smoke Stack","","GR/RO",Colt,"Smoke Stack","Tapit","Pavati","","","","","R.N.A. (250,000)",---
1,0020,"Warrendale Sales, Agent XII ","","Perfection","","B",Filly,"Perfection","Malibu Moon","Perfect Cause","","","","","Bradley Thoroughbreds, Agent",100000
1,0021,"Hunter Valley Farm, Agent ","","Speight'spercomete","","B",Colt,"Speight'spercomete","Speightstown","Perfect La Comete","","","","","Out",0
1,0022,"Woods Edge Farm (Peter O'Callaghan), Agent ","","Kitten Tales","","CH",Filly,"Kitten Tales","Kitten's Joy","Perfect Story","","","","","Don Robinson, Agent",325000
1,0023,"Denali Stud, Agent XLVIII ","","Willabel","","DB/BR",Filly,"Willabel","War Front","Photo Call (IRE)","","","","","Out",0
1,0024,"Indian Creek, Agent ","","Value Creation","","B",Colt,"Value Creation","Uncle Mo","Picardia","","","","","Out",0
1,0025,"Taylor Made Sales Agency, Agent XXVIII ","","Big Rose","","DB/BR",Filly,"Big Rose","Pioneerof the Nile","Placentia","","","","","Out",0
1,0026,"Ballysax Bloodstock, Agent I ","","Medaglia d'Oro --- Play Ballado","","B",Colt,"","Medaglia d'Oro","Play Ballado","","","","","R.N.A. (190,000)",---
1,0027,"Woods Edge Farm (Peter O'Callaghan), Agent ","","Please the Pharaoh","","B",Colt,"Please the Pharaoh","American Pharoah","Please Sign In","","","","","Spartan Bloodstock",250000
1,0028,"Taylor Made Sales Agency, Agent CXXXVIII ","","Op Ed","","B",Colt,"Op Ed","Into Mischief","Poof Too","","","","","Oxo Equine LLC",750000
1,0029,"VanMeter-Gentry Sales, Agent XXVI ","","Galilee","","B",Colt,"Galilee","Pioneerof the Nile","Pretty 'n Smart","","","","","Fox Hill Farm",475000
1,0030,"Timber Town (Mr. & Mrs. T. Wayne Sweezey), Agent I ","","Arjun","","GR/RO",Colt,"Arjun","War Front","Princesa Silvia","","","","","Phoenix Thoroughbreds III",475000
1,0031,"Eaton Sales, Agent ","","Bugle of War","","B",Colt,"Bugle of War","War Front","Princess Sinead (IRE)","","","","","Andrew Farm & For The People",400000
1,0032,"Taylor Made Sales Agency, Agent VI ","","Derby Model","","B",Colt,"Derby Model","Bernardini","Prissy","","","","","R.N.A. (70,000)",---
1,0033,"Taylor Made Sales Agency, Agent for Siena Farm LLC ","","Salute the Flag","","CH",Filly,"Salute the Flag","Curlin","Private Ensign","","","","","Fox Hill Farm",500000
