Session,Hip,PropertyLine1,PropertyLine2,Description,DOB,Color,Sex,Horse Name,Sire,Dam,CoveringSire,LastService,Pregnancy,SoldAs,Purchaser,Price
1,0001,"Lane's End, Agent ","","Concord Bridge","","B",Colt,"Concord Bridge","Medaglia d'Oro","Pauline Revere","","","","","Talla Racing & West Point Thoroughbreds",850000
1,0002,"Summerfield (Francis and Barbara Vanlangendonck), Agent for Stonestreet Bred & Raised","","Uncoachable","","B",Colt,"Uncoachable","Into Mischief","Peggy Jane","","","","","Out",0
1,0003,"Gainesway, Agent X ","","Reserve Fund","","CH",Filly,"Reserve Fund","Tapit","Pension","","","","","Steven W. Young, Agent",650000
1,0004,"Dixiana Farms LLC ","","Paparazzo","","B",Colt,"Paparazzo","American Pharoah","Photographer","","","","","Quarter Pole Enterprises, LLC",200000
1,0005,"Taylor Made Sales Agency, Agent LXI ","","Blood Brother","","B",Colt,"Blood Brother","Quality Road","Pine Needles","","","","","Calumet Farm",100000
1,0006,"Gainesway, Agent IX ","","Genetics","","CH",Filly,"Genetics","Tapit","Points of Grace","","","","","Glassman Racing LLC",525000
1,0007,"Glennwood Farm Inc., Agent ","","Prospero (IRE)","","CH",Colt,"Prospero (IRE)","No Nay Never","Posset (GB)","","","","","R.N.A. (240,000)",---
1,0008,"Gainesway, Agent XLVIII ","","Quality Dance","","B",Filly,"Quality Dance","Quality Road","Princesa Silvia","","","","","Claiborne Farm, Agent",1200000
1,0009,"Taylor Made Sales Agency, Agent for Aaron & Marie Jones LLC ","","Wine On Tap","","GR/RO",Filly,"Wine On Tap","Tapit","Princess La Quinta","","","","","Alistair Roden Bloodstock",600000
1,0010,"Taylor Made Sales Agency, Agent VI ","","Market Street","","B",Colt,"Market Street","Street Sense","Quality Way","","","","","Les Wagner",275000
1,0011,"Bluegrass Thoroughbred Services Inc., Agent for South Gate Farm, LLC","","Dr. Park","","DB/BR",Colt,"Dr. Park","Uncle Mo","Queen Caroline","","","","","Mayberry Farm",850000
1,0012,"Taylor Made Sales Agency, Agent for Spendthrift Farm LLC ","","Refuel","","CH",Colt,"Refuel","Hard Spun","Quick Flip","","","","","Repole Stable & St. Elias Stables",550000
1,0013,"Taylor Made Sales Agency, Agent CLVIII ","","Old Frankfort","","DB/BR",Filly,"Old Frankfort","Curlin","Quiet Flirt","","","","","Out",0
1,0014,"Burleson Farms, Agent ","","First Bid","","GR/RO",Colt,"First Bid","More Than Ready","Realistic","","","","","Willis Horton Racing, LLC",150000
1,0015,"Warrendale Sales, Agent for Sandra Sexton and Silver Fern Farm, LLC","","Roikop","","GR/RO",Filly,"Roikop","Ghostzapper","Red Ruby","","","","","Eclipse Thoroughbred Partners & Gary Barber",320000
1,0016,"Mt. Brilliant Farm ","","Hips Don't Lie","","B",Filly,"Hips Don't Lie","Bernardini","Redwood Dancer","","","","","Out",0
1,0017,"Woods Edge Farm (Peter O'Callaghan), Agent ","","Radiant Queen","","CH",Filly,"Radiant Queen","Gun Runner","Renee's Queen","","","","","Kerri Radcliffe, Agent for AMO Racing ",475000
1,0018,"Mulholland Springs, Agent for Spendthrift Farm LLC ","","Greer My Dear","","B",Filly,"Greer My Dear","Medaglia d'Oro","Rich Mommy","","","","","Out",0
1,0019,"Upson Downs Farm, Agent IV ","","Shingle","","CH",Colt,"Shingle","Omaha Beach","Riley's Choice","","","","","Out",0
1,0020,"Hunter Valley Farm, Agent ","","By the Sword","","CH",Colt,"By the Sword","Curlin","Rock Jasmine","","","","","Out",0
1,0021,"Legacy Bloodstock, Agent V ","","Candy Aisle","","B",Filly,"Candy Aisle","Gun Runner","Rosalie Road","","","","","R.N.A. (350,000)",---
1,0022,"Lane's End, Agent ","","Toy Collector","","B",Filly,"Toy Collector","Frankel (GB)","Rubina (IRE)","","","","","Bach Stables LLC",550000
1,0023,"Taylor Made Sales Agency, Agent CXXXIII ","","Woven Red","","GR/RO",Filly,"Woven Red","Tapit","Ruby Lips","","","","","Juddmonte",775000
1,0024,"Dixiana Farms LLC ","","Poppy's Joy","","CH",Filly,"Poppy's Joy","Kitten's Joy","Sacred Feather","","","","","Little Red Feather / John Dowd, Agent",260000
1,0025,"Denali Stud, Agent XLII ","","Washashore","","B",Filly,"Washashore","Medaglia d'Oro","Sacristy","","","","","Mike Ryan, Agent",825000
1,0026,"Eaton Sales, Agent ","","Volume","","DB/BR",Filly,"Volume","Audible","Safwah","","","","","Out",0
1,0027,"Hill 'n' Dale Sales Agency, Agent ","","Bisate","","B",Colt,"Bisate","City of Light","Sam's Sister","","","","","Browns Stable",325000
1,0028,"Gainesway, Agent XII ","","Guinevere","","CH",Filly,"Guinevere","Justify","San Saria (IRE)","","","","","B. McElroy, Agt for My Racehorse/W. Ward/RT Racing",925000
1,0029,"Paramount Sales, Agent CII ","","Sir Leto (IRE)","","CH",Colt,"Sir Leto (IRE)","Justify","Sarrocchi (IRE)","","","","","My Racehorse",275000
1,0030,"Gainesway, Agent for Stonestreet Bred & Raised ","","Ethan Energy","","B",Colt,"Ethan Energy","Uncle Mo","Sass and Class","","","","","Out",0
1,0031,"Lane's End, Agent ","","Leading","","GR/RO",Colt,"Leading","Uncle Mo","Savings Account","","","","","Out",0
1,0032,"Paramount Sales, Agent XVII ","","Final Boss","","CH",Colt,"Final Boss","American Pharoah","Screaming Skylar","","","","","Talla Racing & West Point Thoroughbreds",450000
1,0033,"Lane's End, Agent ","","Act of Mutiny","","B",Colt,"Act of Mutiny","Quality Road","Sea Gull","","","","","Out",0
